Name	Platform	Year_of_Release	Genre	Publisher	NA_Sales	EU_Sales	JP_Sales	Other_Sales	Global_Sales
Action Force	2600	1982	Action	CPG Products	0.5	0.03	0	0.01	0.54
Gauntlet	2600	1982	Action	Answer Software	0.46	0.03	0	0.01	0.5
Congo Bongo	2600	1982	Action	Sega	0.37	0.02	0	0	0.4
Gravitar	2600	1982	Action	Atari	0.35	0.02	0	0	0.38
Aliens Return	2600	1982	Action	ITT Family Games	0.32	0.02	0	0	0.34
Bank Heist	2600	1982	Action	20th Century Fox Video Games	0.32	0.02	0	0	0.34
Frankensteins Monster	2600	1982	Action	Data Age	0.3	0.02	0	0	0.32
Mountain King	2600	1982	Action	CBS Electronics	0.29	0.02	0	0	0.31
Polaris	2600	1982	Action	Tigervision	0.26	0.02	0	0	0.28
Mr. Do!	2600	1982	Action	Coleco	0.26	0.02	0	0	0.27
Porkys	2600	1982	Action	20th Century Fox Video Games	0.23	0.01	0	0	0.25
Assault	2600	1982	Action	Bom	0.21	0.01	0	0	0.22
Death Trap	2600	1982	Action	Avalon Interactive	0.15	0.01	0	0	0.17
Pressure Cooker	2600	1982	Action	Activision	0.14	0.01	0	0	0.15
Krull	2600	1982	Action	Atari	0.13	0.01	0	0	0.14
Karate	2600	1982	Fighting	Ultravision	0.44	0.03	0	0	0.47
Enduro	2600	1982	Misc	Quelle	0.81	0.05	0	0.01	0.87
Mario Bros.	2600	1982	Platform	Atari	1.48	0.09	0	0.02	1.59
Jungle Hunt	2600	1982	Platform	Atari	1.03	0.06	0	0.01	1.1
Joust	2600	1982	Platform	Atari	1.01	0.06	0	0.01	1.08
Kangaroo	2600	1982	Platform	Atari	0.67	0.04	0	0.01	0.72
Popeye	2600	1982	Platform	Parker Bros.	0.5	0.03	0	0.01	0.54
Pac-Man	2600	1982	Puzzle	Atari	7.28	0.45	0	0.08	7.81
Dig Dug	2600	1982	Puzzle	Atari	1.52	0.1	0	0.02	1.64
Q*bert	2600	1982	Puzzle	Parker Bros.	0.55	0.03	0	0.01	0.58
Pole Position	2600	1982	Racing	Atari	1.1	0.07	0	0.01	1.18
Bump n Jump	2600	1982	Racing	Mattel Interactive	0.37	0.02	0	0	0.39
Moon Patrol	2600	1982	Shooter	Atari	1.05	0.06	0	0.01	1.12
Yars Revenge	2600	1982	Shooter	Atari	0.73	0.04	0	0.01	0.78
Galaxian	2600	1982	Shooter	Atari	0.72	0.05	0	0.01	0.77
Battlezone	2600	1982	Shooter	Atari	0.58	0.03	0	0.01	0.62
Chopper Command	2600	1982	Shooter	Activision	0.47	0.03	0	0.01	0.5
The Activision Decathlon	2600	1982	Sports	Activision	0.52	0.03	0	0.01	0.55
RealSports Tennis	2600	1982	Sports	Atari	0.46	0.03	0	0.01	0.5
Crystal Castles	2600	1983	Action	Atari	0.72	0.04	0	0.01	0.77
Midnight Magic	2600	1983	Action	Atari	0.47	0.03	0	0.01	0.5
Gremlins	2600	1983	Action	Atari	0.43	0.03	0	0	0.46
Frostbite	2600	1983	Action	Activision	0.32	0.02	0	0	0.34
Frogger II: Threeedeep!	2600	1983	Action	Parker Bros.	0.31	0.02	0	0	0.33
Dolphin	2600	1983	Action	Activision	0.27	0.02	0	0	0.29
Flag Capture	2600	1983	Action	Atari	0.25	0.02	0	0	0.27
Mr. Do!s Castle	2600	1983	Action	Parker Bros.	0.15	0.01	0	0	0.17
Pengo	2600	1983	Adventure	Atari	0.38	0.02	0	0	0.4
Mahjong	NES	1983	Misc	Nintendo	0.01	0	2.13	0	2.14
Mario Bros.	NES	1983	Platform	Nintendo	0.51	0.12	1.63	0.02	2.28
Pitfall II: Lost Caverns	2600	1983	Platform	Activision	1.22	0.07	0	0.02	1.31
Donkey Kong	NES	1983	Platform	Nintendo	0.23	0.05	0.84	0.01	1.13
Donkey Kong Jr.	NES	1983	Platform	Nintendo	0.33	0.07	0.7	0.01	1.11
Popeye	NES	1983	Platform	Nintendo	0.51	0.12	0.45	0.02	1.1
Jr. Pac-Man	2600	1983	Puzzle	Atari	0.72	0.05	0	0.01	0.78
Millipede	2600	1983	Shooter	Atari	0.45	0.03	0	0.01	0.48
Baseball	NES	1983	Sports	Nintendo	0.73	0.1	2.35	0.02	3.2
Pinball	NES	1984	Action	Nintendo	0.8	0.19	0.83	0.03	1.85
4 Nin uchi Mahjong	NES	1984	Misc	Nintendo	0	0	1.45	0	1.45
Mappy	NES	1984	Platform	Namco Bandai Games	0	0	0.69	0	0.69
Pac-Man	NES	1984	Puzzle	Namco Bandai Games	0.27	0.08	0.85	0.02	1.22
Lode Runner	NES	1984	Puzzle	Hudson Soft	0	0	1.1	0	1.1
Clu Clu Land	NES	1984	Puzzle	Nintendo	0.42	0.1	0.28	0.02	0.82
Excitebike	NES	1984	Racing	Nintendo	2.04	0.48	1.57	0.07	4.16
F1 Race	NES	1984	Racing	Nintendo	0	0	1.52	0	1.52
Beamrider	2600	1984	Racing	Activision	0.26	0.01	0	0	0.27
Duck Hunt	NES	1984	Shooter	Nintendo	26.93	0.63	0.28	0.47	28.31
Xevious	NES	1984	Shooter	Namco Bandai Games	0.18	0.06	1.27	0.01	1.52
Hogans Alley	NES	1984	Shooter	Nintendo	0.68	0.16	0.41	0.02	1.27
Golf	NES	1984	Sports	Nintendo	1.22	0.28	2.46	0.04	4.01
Tennis	NES	1984	Sports	Nintendo	0.48	0.11	1.56	0.02	2.17
Kung Fu	NES	1985	Action	Nintendo	1.64	0.38	1.42	0.06	3.5
Strongest Tokyo University Shogi DS	DS	1985	Action	Mycom	0	0	0.02	0	0.02
Tag Team Match M.U.S.C.L.E.	NES	1985	Fighting	Namco Bandai Games	0	0	1.05	0	1.05
Super Mario Bros.	NES	1985	Platform	Nintendo	29.08	3.58	6.81	0.77	40.24
Ice Climber	NES	1985	Platform	Nintendo	0.46	0.1	0.92	0.02	1.5
Balloon Fight	NES	1985	Platform	Nintendo	0.39	0.09	0.43	0.01	0.92
Wrecking Crew	NES	1985	Platform	Nintendo	0	0	0.51	0	0.51
Gyromite	NES	1985	Puzzle	Nintendo	0.73	0.16	0.4	0.03	1.32
Bomberman	NES	1985	Puzzle	Hudson Soft	0.18	0	0.85	0	1.03
Ghostbusters	2600	1985	Puzzle	Activision	0.42	0.03	0	0	0.45
Dig Dug	NES	1985	Puzzle	Namco Bandai Games	0	0	0.41	0	0.41
1942	NES	1985	Shooter	Capcom	0.65	0.14	0.21	0	1
Alter Ego	PC	1985	Simulation	Activision	0	0.03	0	0.01	0.03
Soccer	NES	1985	Sports	Nintendo	0.18	0.23	1.53	0.02	1.96
The Legend of Zelda	NES	1986	Action	Nintendo	3.74	0.93	1.69	0.14	6.51
Metroid	NES	1986	Action	Nintendo	1.33	0.31	1.04	0.05	2.73
Ghosts n Goblins	NES	1986	Action	Capcom	0.74	0.26	0.61	0.03	1.64
Doraemon	NES	1986	Action	Hudson Soft	0	0	1.15	0	1.15
Commando	NES	1986	Action	Capcom	0.71	0.16	0.25	0.03	1.14
The Mysterious Murasame Castle	NES	1986	Action	Nintendo	0	0	0.57	0	0.57
Super Mario Bros.: The Lost Levels	NES	1986	Platform	Nintendo	0	0	2.65	0	2.65
Kid Icarus	NES	1986	Platform	Nintendo	0.53	0.12	1.09	0.02	1.76
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki	NES	1986	Platform	Hudson Soft	0	0	1.5	0	1.5
Castlevania	NES	1986	Platform	Konami Digital Entertainment	0.54	0.06	0.62	0.01	1.23
Ganbare Goemon! Karakuri Douchuu	NES	1986	Platform	Konami Digital Entertainment	0	0	1.2	0	1.2
Adventure Island	NES	1986	Platform	Hudson Soft	0	0	1.05	0	1.05
Rad Racer	NES	1986	Racing	Nintendo	1.13	0.37	0.41	0.05	1.96
Dragon Warrior	NES	1986	Role-Playing	Capcom	0.49	0	0.52	1.51	2.52
Gradius	NES	1986	Shooter	Konami Digital Entertainment	0.27	0.08	1	0.01	1.36
TwinBee	NES	1986	Shooter	Konami Digital Entertainment	0	0	1.2	0	1.2
Star Soldier	NES	1986	Shooter	Hudson Soft	0.32	0.06	0.57	0.01	0.96
Solaris	2600	1986	Shooter	Atari	0.35	0.02	0	0	0.37
World Class Track Meet	NES	1986	Sports	Namco Bandai Games	1.92	0.45	0.64	0.07	3.08
Pro Yakyuu Family Stadium	NES	1986	Sports	Namco Bandai Games	0.15	0	2.05	0	2.2
RealSports Boxing	2600	1986	Sports	Atari	0.28	0.02	0	0	0.29
Kung-Fu Master	2600	1987	Action	Activision	0.6	0.04	0	0.01	0.65
Commando	2600	1987	Action	Activision	0.44	0.02	0	0	0.47
Zelda II: The Adventure of Link	NES	1987	Adventure	Nintendo	2.19	0.5	1.61	0.08	4.38
Mike Tysons Punch-Out!!	NES	1987	Fighting	Nintendo	2.03	0.47	0.45	0.07	3.02
Pro Wrestling	NES	1987	Fighting	Nintendo	0.77	0.18	1.42	0.03	2.4
Castlevania II: Simons Quest	NES	1987	Platform	Konami Digital Entertainment	0.45	0.06	0.42	0	0.93
Mega Man	NES	1987	Platform	Capcom	0.45	0.08	0.27	0.01	0.81
Dragon Warrior II	NES	1987	Role-Playing	Enix Corporation	0.15	0	2.41	0	2.56
Gegege no Kitarou 2: Youkai Gundan no Chousen	NES	1987	Role-Playing	Namco Bandai Games	0	0	1.25	0	1.25
Final Fantasy	NES	1987	Role-Playing	SquareSoft	0.32	0	0.52	0	0.84
Defender II	2600	1987	Shooter	Atari	0.42	0.02	0	0	0.45
Desert Falcon	2600	1987	Shooter	Atari	0.24	0.01	0	0	0.26
Volleyball	NES	1987	Sports	Nintendo	0.14	0.03	1.98	0	2.15
Pro Yakyuu Family Stadium 87	NES	1987	Sports	Namco Bandai Games	0.12	0	1.3	0	1.42
Super Football	2600	1987	Sports	Atari	0.07	0	0	0	0.08
Super Baseball	2600	1987	Sports	Atari	0.07	0	0	0	0.07
Mega Man 2	NES	1988	Action	Capcom	0.93	0.15	0.42	0.01	1.51
Rampage	2600	1988	Action	Activision	0.22	0.01	0	0	0.24
Super Mario Bros. 3	NES	1988	Platform	Nintendo	9.54	3.44	3.84	0.46	17.28
Super Mario Bros. 2	NES	1988	Platform	Nintendo	5.39	1.18	0.7	0.19	7.46
Donkey Kong Classics	NES	1988	Platform	Nintendo	0.59	0.14	0.81	0.02	1.56
Disney's DuckTales	G	1988	Platform	Capcom	0.82	0.23	0.35	0.03	1.43
Tetris	NES	1988	Puzzle	Nintendo	2.97	0.69	1.81	0.11	5.58
R.C. Pro-Am	NES	1988	Racing	Nintendo	1.47	0.38	0.19	0.1	2.14
Dragon Warrior III	NES	1988	Role-Playing	Enix Corporation	0.1	0	3.77	0	3.87
Dragon Ball: Daimaou Fukkatsu	NES	1988	Role-Playing	Namco Bandai Games	0	0	1.25	0	1.25
Final Fantasy II	NES	1988	Role-Playing	SquareSoft	0	0	0.76	0	0.76
River Raid II	2600	1988	Shooter	Activision	0.47	0.03	0	0.01	0.51
SimCity	PC	1988	Simulation	Maxis	0	0.02	0	0.01	0.03
Ice Hockey	NES	1988	Sports	Nintendo	1.27	0.32	0.78	0.05	2.42
Pro Yakyuu Family Stadium 88	NES	1988	Sports	Namco Bandai Games	0.1	0	1.08	0	1.18
Teenage Mutant Ninja Turtles	NES	1989	Action	Palcom	3.38	0.44	0.31	0.04	4.17
Double Dragon	2600	1989	Action	Activision	0.45	0.02	0	0.01	0.47
Yakuman	G	1989	Misc	Nintendo	0	0	1.28	0	1.28
Super Mario Land	G	1989	Platform	Nintendo	10.83	2.71	4.18	0.42	18.14
Disney's DuckTales	NES	1989	Platform	Capcom	0.91	0.3	0.42	0.04	1.67
Castlevania III: Draculas Curse	NES	1989	Platform	Konami Digital Entertainment	0.4	0.07	0.37	0.01	0.85
Tetris	G	1989	Puzzle	Nintendo	23.2	2.26	4.22	0.58	30.26
Dr. Mario	G	1989	Puzzle	Nintendo	2.18	0.96	2	0.2	5.34
Alleyway	G	1989	Puzzle	Nintendo	0.96	0.38	0.55	0.05	1.94
Klax	2600	1989	Puzzle	Atari	0.14	0.01	0	0	0.15
Adventures of Lolo	NES	1989	Puzzle	HAL Laboratory	0.06	0	0	0	0.06
The Final Fantasy Legend	G	1989	Role-Playing	SquareSoft	0	0	1.1	0	1.1
Famicom Jump: Eiyuu Retsuden	NES	1989	Role-Playing	Namco Bandai Games	0	0	1.1	0	1.1
SolarStriker	G	1989	Shooter	Nintendo	0.4	0.39	0.36	0.04	1.2
Golf	G	1989	Sports	Nintendo	0.83	0.33	0.92	0.04	2.12
Tennis	G	1989	Sports	Nintendo	0.75	0.3	0.9	0.04	1.99
Baseball	G	1989	Sports	Nintendo	0.66	0.27	0.65	0.03	1.61
Streets of Rage	GEN	1990	Action	Sega	1.86	0.55	0.11	0.08	2.6
Teenage Mutant Ninja Turtles II: The Arcade Game	NES	1990	Action	Konami Digital Entertainment	1.74	0.25	0.21	0.03	2.23
Final Fight	SNES	1990	Action	Capcom	0.67	0.17	0.69	0.03	1.56
Super Mario World	SNES	1990	Platform	Nintendo	12.78	3.75	3.54	0.55	20.61
Disney's Chip n Dale: Rescue Rangers	NES	1990	Platform	Capcom	0.68	0.14	0.35	0.02	1.19
Mega Man 3	NES	1990	Platform	Capcom	0.68	0.1	0.39	0	1.17
Dr. Mario	NES	1990	Puzzle	Nintendo	2.62	0.6	1.52	0.1	4.85
Qix	G	1990	Puzzle	Nintendo	0.51	0.2	0.41	0.03	1.15
F-1 Race	G	1990	Racing	Nintendo	1.73	0.69	0.59	0.4	3.41
F-Zero	SNES	1990	Racing	Nintendo	1.37	0.51	0.89	0.07	2.85
Dragon Warrior IV	NES	1990	Role-Playing	Enix Corporation	0.08	0	3.03	0.01	3.12
Final Fantasy III	NES	1990	Role-Playing	SquareSoft	0	0	1.39	0.01	1.4
Pilotwings	SNES	1990	Simulation	Nintendo	0.46	0.17	0.48	0.02	1.14
Nintendo World Cup	NES	1990	Sports	Nintendo	0.28	0.5	0.65	0.05	1.48
Extra Bases	G	1990	Sports	Namco Bandai Games	0	0	0.33	0	0.33
Famista 91	NES	1990	Sports	Namco Bandai Games	0	0	0.3	0	0.3
The Legend of Zelda: A Link to the Past	SNES	1991	Action	Nintendo	2.42	0.91	1.15	0.13	4.61
Teenage Mutant Ninja Turtles III: The Manhattan Project	NES	1991	Action	Konami Digital Entertainment	1.05	0.17	0.15	0.02	1.39
Super Wagyan Land	SNES	1991	Action	Namco Bandai Games	0	0	0.42	0	0.42
Lord of Darkness	SNES	1991	Action	Tecmo Koei	0	0	0.28	0	0.28
Teenage Mutant Ninja Turtles II: Back from the Sewers	G	1991	Action	Konami Digital Entertainment	0	0	0.06	0	0.06
Metroid II: Return of Samus	G	1991	Adventure	Nintendo	0.85	0.31	0.56	0.04	1.76
The Legend of the Mystical Ninja	SNES	1991	Adventure	Konami Digital Entertainment	0	0	0.48	0	0.48
Super Fire ProWrestling	SNES	1991	Fighting	Human Entertainment	0	0	0.39	0	0.39
Chibi Maruko-Chan: Harikiri 365-Nichi no Maki	SNES	1991	Misc	Epoch	0	0	0.08	0	0.08
Sonic the Hedgehog	GEN	1991	Platform	Sega	3.03	0.91	0.26	0.13	4.34
Super Ghouls n Ghosts	SNES	1991	Platform	Capcom	0.5	0.14	0.52	0.02	1.18
Mega Man 4	NES	1991	Platform	Capcom	0.51	0.09	0.32	0.01	0.93
Super Castlevania IV	SNES	1991	Platform	Konami Digital Entertainment	0.32	0.05	0.25	0.01	0.63
Mega Man: Dr. Wilys Revenge	G	1991	Platform	Nintendo	0	0	0.28	0	0.28
Mega Man II	G	1991	Platform	Nintendo	0	0	0.28	0	0.28
Yoshi	NES	1991	Puzzle	Nintendo	0.7	0.13	0.91	0.01	1.75
Yoshi	G	1991	Puzzle	Nintendo	0	0	0.73	0	0.73
Bomberman II	NES	1991	Puzzle	Hudson Soft	0.16	0.03	0.15	0.1	0.44
Tetris 2 + Bombliss	NES	1991	Puzzle	BPS	0	0	0.32	0	0.32
Super R.C. Pro-Am	G	1991	Racing	Nintendo	0.58	0.37	0.15	0.04	1.14
Final Fantasy II	SNES	1991	Role-Playing	Square	0.24	0.09	1.33	0.12	1.77
Final Fantasy Legend III	G	1991	Role-Playing	SquareSoft	0	0	0.76	0	0.76
Final Fantasy Adventure	G	1991	Role-Playing	SquareSoft	0	0	0.38	0	0.38
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan	SNES	1991	Role-Playing	Angel Studios	0	0	0.29	0	0.29
Lagoon	SNES	1991	Role-Playing	Kemco	0	0	0.05	0	0.05
Super Scope 6	SNES	1991	Shooter	Nintendo	1.06	0.38	0.15	0.05	1.65
Super R-Type	SNES	1991	Shooter	Nintendo	0	0	0.23	0	0.23
UN Squadron	SNES	1991	Shooter	Capcom	0	0	0.12	0	0.12
SimCity	SNES	1991	Simulation	Nintendo	0.93	0.27	0.75	0.04	1.98
SimEarth: The Living Planet	SNES	1991	Simulation	Imagineer	0	0	0.16	0	0.16
NES Open Tournament Golf	NES	1991	Sports	Nintendo	0.41	0.1	0.47	0.02	1
Super Soccer	SNES	1991	Sports	Nintendo	0	0	0.38	0	0.38
Battle Dodge Ball	SNES	1991	Sports	Banpresto	0	0	0.33	0	0.33
Famista 92	NES	1991	Sports	Namco Bandai Games	0	0	0.28	0	0.28
Super Baseball Simulator 1.000	SNES	1991	Sports	Culture Brain	0	0	0.2	0	0.2
World League Soccer	SNES	1991	Sports	Imagineer	0	0	0.15	0	0.15
John Madden Football	SNES	1991	Sports	Imagineer	0	0	0.07	0	0.07
Kidou Senshi Gundam F91: Formula Senki 0122	SNES	1991	Strategy	Namco Bandai Games	0	0	0.33	0	0.33
Romance of the Three Kingdoms II	SNES	1991	Strategy	Tecmo Koei	0	0	0.25	0	0.25
GameBoy Wars	G	1991	Strategy	Nintendo	0	0	0.18	0	0.18
Battle Commander: Hachibushu Shura no Heihou	SNES	1991	Strategy	Banpresto	0	0	0.18	0	0.18
The Legend of Zelda: Links Awakening	G	1992	Action	Nintendo	2.21	0.96	0.54	0.13	3.83
Ghostbusters II	2600	1992	Action	Activision	0.2	0.01	0	0	0.21
Super Mario Land 2: 6 Golden Coins	G	1992	Adventure	Nintendo	6.16	2.04	2.69	0.29	11.18
The 7th Guest	PC	1992	Adventure	Virgin Interactive	0.02	0.77	0	0	0.79
Otogirisou	SNES	1992	Adventure	ChunSoft	0	0	0.16	0	0.16
Ecco the Dolphin	GEN	1992	Adventure	Sega	0	0	0.12	0	0.12
Street Fighter II: The World Warrior	SNES	1992	Fighting	Capcom	2.47	0.83	2.87	0.12	6.3
Street Fighter II Turbo	SNES	1992	Fighting	Capcom	1.42	0.51	2.1	0.07	4.1
Mortal Kombat	GEN	1992	Fighting	Arena Entertainment	1.95	0.63	0	0.09	2.67
Street Fighter II: Special Champion Edition	GEN	1992	Fighting	Sega	1	0.3	0.31	0.04	1.66
Fatal Fury	SNES	1992	Fighting	Takara	0	0	0.39	0	0.39
Teenage Mutant Ninja Turtles: Tournament Fighters	NES	1992	Fighting	Konami Digital Entertainment	0.04	0.01	0.02	0	0.07
Teenage Mutant Ninja Turtles: Tournament Fighters	SNES	1992	Fighting	Konami Digital Entertainment	0	0	0.06	0	0.06
Mario Paint	SNES	1992	Misc	Nintendo	1.43	0.54	0.71	0.07	2.75
Kirbys Pinball Land	G	1992	Misc	Nintendo	0.87	0.17	1.1	0.05	2.19
Sonic the Hedgehog 2	GEN	1992	Platform	Sega	4.47	1.2	0.16	0.19	6.03
Kirbys Dream Land	G	1992	Platform	Nintendo	2.71	0.61	1.7	0.11	5.13
The Magical Quest starring Mickey Mouse	SNES	1992	Platform	Capcom	0.66	0.17	0.35	0.03	1.21
Mega Man 5	NES	1992	Platform	Capcom	0.39	0.07	0.32	0.01	0.79
Super Adventure Island	SNES	1992	Platform	Hudson Soft	0	0	0.22	0	0.22
Sonic the Hedgehog 2 (8-bit)	GG	1992	Platform	Sega	0	0	0.04	0	0.04
Yoshis Cookie	G	1992	Puzzle	Nintendo	0.59	0.24	0.82	0.03	1.68
Tetris 2 (All region sales)	G	1992	Puzzle	Nintendo	0.56	0.22	0.43	0.03	1.24
Yoshis Cookie	NES	1992	Puzzle	Nintendo	0.41	0.06	0.63	0.02	1.12
Super Bomberman	SNES	1992	Puzzle	Hudson Soft	0	0	0.57	0	0.57
Tetris 2 (weekly jp sales)	G	1992	Puzzle	Nintendo	0	0	0.23	0	0.23
Super Mario Kart	SNES	1992	Racing	Nintendo	3.54	1.24	3.81	0.18	8.76
F-1 Grand Prix	SNES	1992	Racing	Video System	0	0	0.28	0	0.28
Dragon Quest V: Tenkuu no Hanayome	SNES	1992	Role-Playing	Enix Corporation	0	0	2.78	0.01	2.79
Final Fantasy V	SNES	1992	Role-Playing	SquareSoft	0	0	2.43	0.02	2.45
Romancing SaGa	SNES	1992	Role-Playing	SquareSoft	0	0	0.97	0	0.97
Dragon Ball Z: Chou Saiya Densetsu	SNES	1992	Role-Playing	Namco Bandai Games	0	0	0.58	0	0.58
Dragon Slayer: The Legend of Heroes	SNES	1992	Role-Playing	Epoch	0	0	0.07	0	0.07
Contra III: The Alien Wars	SNES	1992	Shooter	Konami Digital Entertainment	0	0	0.13	0	0.13
Gunstar Heroes	GEN	1992	Shooter	Sega	0	0	0.13	0	0.13
Doom	PC	1992	Shooter	id Software	0.02	0	0	0	0.03
SimCity 2000	PC	1992	Simulation	Maxis	1.2	0.84	0	0.1	2.14
NBA Jam	GEN	1992	Sports	Arena Entertainment	1.75	0.25	0	0.05	2.05
Super Batter Up	SNES	1992	Sports	Namco Bandai Games	0	0	0.46	0	0.46
F1 ROC: Race of Champions	SNES	1992	Sports	Ocean	0	0	0.28	0	0.28
Battle Soccer: Field no Hasha	SNES	1992	Sports	Banpresto	0	0	0.16	0	0.16
Romance of the Three Kingdoms III: Dragon of Destiny	SNES	1992	Strategy	Tecmo Koei	0	0	0.29	0	0.29
